Sample,Analysis,FilteredAge,FilteredAge2sig,Si29,P31,Ti49,Y89,Zr91,Nb93,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb204,Pb206,Pb207,Pb208,Th232,U238,Si29_2sig,P31_2sig,Ti49_2sig,Y89_2sig,Zr91_2sig,Nb93_2sig,La139_2sig,Ce140_2sig,Pr141_2sig,Nd146_2sig,Sm147_2sig,Eu153_2sig,Gd157_2sig,Tb159_2sig,Dy163_2sig,Ho165_2sig,Er166_2sig,Tm169_2sig,Yb172_2sig,Lu175_2sig,Hf177_2sig,Pb204_2sig,Pb206_2sig,Pb207_2sig,Pb208_2sig,Th232_2sig,U238_2sig,lambda0,lambda1,lambda2,lambda3,lambda4,Ce_MFR,Eu_MFR
FR3_008,FR3_008 - 012,1396,23,147868.401,332.9769301,6.344663534,1806.291295,431400,8.565368136,0.023705017,63.61357023,0.073364553,1.485036335,5.306777321,0.834781797,36.35795211,12.18910332,164.3446957,61.48420244,288.060336,57.9565509,521.6537793,101.5486404,10148.21905,0,47.21223354,4.558037953,12.74260092,158.5519935,179.4255076,6089.208723,70.3435968,3.735394015,101.4422037,12879.7165,1.071574341,0.017145814,2.32910417,0.027507496,0.415487473,1.180340487,0.219101345,4.040017412,1.037847551,11.19705593,3.750941677,14.40675128,3.082480634,26.74160575,4.353284678,400.991753,0.000356375,1.901606553,0.227335621,0.719285777,7.052117487,6.522317317,4.3552214,-60.2435732,-155.1542276,1077.534223,15174.12465,419.4928149,0.1799846
FR3_008,FR3_008 - 013,1208,23,152894.8343,848.7716317,5.027081859,1423.3461,431400,8.98863422,17.82269943,85.51076723,2.032723247,5.385641844,4.942367832,0.828561216,25.12827762,8.84782728,120.9228048,43.6344443,225.3227701,45.92273655,414.0420497,84.25007217,9904.054971,0.249684288,68.78696359,9.640086615,41.0658372,133.1714351,158.3846106,6679.609522,126.0671822,4.483797588,52.53624405,13152.67885,1.327840781,3.038150638,5.748259327,0.574289329,1.36380809,1.123537295,0.229615097,2.908144154,0.80220997,8.868932999,2.22541264,11.18495373,3.011274285,18.12270338,3.846293106,401.2121622,0.0978407,3.02379093,0.521249114,2.737442588,5.347353587,6.276742794,5.3074911,-28.8328559,243.6196265,3101.418407,-277.7774929,5.144047,0.2389693
FR3_008,FR3_008 - 014,1551,22,149963.2538,275.4371789,5.028506454,2069.700675,431400,4.866238252,0.007157688,15.12995985,0.099179465,1.964757123,6.579354832,0.217228342,41.47601771,14.61012922,190.2119709,69.79775904,325.2686201,62.31823435,524.8156973,97.14703801,10190.09493,0,57.57486282,5.133277537,9.724036015,130.904942,238.7610694,5711.115323,43.00059711,2.068970733,72.46235231,12482.54578,0.418795899,0.005848451,0.560725512,0.019904043,0.299564458,0.615438007,0.054170181,1.949584456,0.652161041,7.430334412,2.851596213,12.51075994,2.430500622,20.34542091,3.6154046,362.3830897,0.000134926,2.273127694,0.215361839,0.441708732,5.112381152,9.863418829,4.3758351,-62.8329641,-241.4675554,-200.3869436,-3394.883034,126.1254574,0.0390246
FR3_008,FR3_008 - 015,1223,26,152002.6242,188.5798766,23.30014878,1060.098478,431400,2.025280778,0.030648017,3.401332616,0.274596185,4.194314884,6.388114356,0.52484084,29.82828377,9.311660978,108.3440907,36.40988697,160.321812,30.28574758,257.7342913,49.19217143,8015.159038,0,50.40674838,4.947153443,6.696562794,76.50902408,175.6556988,5608.190519,20.63374396,4.207912754,36.7816275,12454.99052,0.233132277,0.011264208,0.161229119,0.031992307,0.466357962,0.625255572,0.079876033,1.475797941,0.454839579,4.74528082,1.41131204,6.360583837,1.283586659,9.856009965,1.826265359,275.6320564,0.000462759,1.895005238,0.204742311,0.335250787,2.961905662,6.152965591,4.3432576,-49.9126846,-177.4925557,-771.3580355,-9882.779666,7.616581,0.110402
FR3_008,FR3_008 - 016,1549,21,159201.3661,324.3995448,14.4928872,821.6470431,431400,3.100932452,0.269988033,37.20821238,0.260419699,2.463315665,3.482573581,0.672053808,17.42471278,5.69473538,71.53799441,26.89400687,133.224423,26.8938048,255.1713344,51.60815837,9260.818772,0,53.73883974,5.787076732,17.21267446,187.6923823,165.6781205,5870.499994,45.5803066,4.193602895,33.58037601,12529.19892,0.400182912,0.043569096,1.607666576,0.039311006,0.398358642,0.512259316,0.114019108,1.42276621,0.452969673,3.966589909,1.403838393,6.160494114,1.283110003,11.13597337,2.339824257,325.5449841,0.000580361,2.12305883,0.251407634,1.090629156,10.12898103,6.813651807,4.2807518,-43.8056283,16.5653491,1105.295532,3620.341739,38.3935423,0.262927
FR3_008,FR3_008 - 017,1447,25,154501.0663,2997.332184,171.9066092,6534.566203,431400,11.60846964,44.06126612,287.3921498,41.49593203,229.0547869,176.6357994,36.45225301,389.2516293,105.520786,944.4815866,248.9056948,969.244303,178.1035527,1481.442993,242.5868276,8343.98332,0.027002902,152.5735512,14.32754917,26.42727199,1745.939139,1090.224894,6070.320009,296.2829397,36.00032077,742.0161215,12693.64825,1.278530169,3.12130616,20.98602803,2.366391018,16.21652259,17.06305781,4.384147864,46.66131508,13.58427369,119.9455657,30.79425156,115.5992793,20.05319946,161.2687652,24.84615874,316.8604052,0.026177519,5.985603515,0.611394075,1.493936994,158.7329607,52.24519493,7.5175388,-22.0691828,-5.6126982,147.0798061,-2070.241371,1.709426,0.4215177
FR3_008,FR3_008 - 018,1139,20,148736.7902,11264.15877,87.29748122,7665.929654,431400,36.96355082,104.9309951,909.0078135,120.0300484,730.2808868,467.7297586,83.01006146,656.720563,169.1032074,1411.174471,320.3331864,1187.415997,222.8966352,2005.274786,350.3991154,9637.570097,0.076727833,239.0629556,25.42185644,14.19026644,1334.186246,1953.813781,5977.913223,711.1458685,15.66561308,319.5621438,12681.14663,1.932947643,4.83505821,37.40891382,5.41623879,35.24172593,22.21950047,4.053761191,30.6357567,8.513671883,64.96423,15.0821312,56.45248953,10.79295241,85.16001,14.91252109,374.6786318,0.035231922,10.40420314,1.140940459,0.928051565,124.3900022,74.20500365,8.1334867,-16.9153726,-21.2263119,-867.9789095,1231.458772,1.9178685,0.4411737
FR3_008,FR3_008 - 019,1580,28,142680.7947,186.6274578,8.388081498,299.277799,431400,0.879211851,0.195288283,15.64690629,0.210994318,1.530151665,1.754630185,0.583998203,8.691398686,2.190126482,25.9041876,8.943651592,44.90610426,9.620997925,94.99966262,20.61987043,9677.309847,0,21.97981657,2.122241987,3.818552242,55.82204541,85.93113951,5319.815003,34.99986927,3.333505987,14.34075891,12628.37247,0.200052327,0.038577437,0.862260513,0.036529874,0.327040338,0.377025921,0.11127302,1.089615805,0.261289178,2.146124545,0.678645995,2.871294876,0.562409069,4.6785792,1.131682106,346.7934581,0.000303569,0.938475546,0.112668538,0.290607012,3.429059435,3.230976334,3.5316015,-38.9564894,31.5685422,465.0052838,4705.255191,21.3153459,0.471967
FR3_008,FR3_008 - 020,1067,17,145238.2922,595.8772617,10.55390055,1336.506949,431400,2.203850308,0.0239672,33.15282568,0.132381191,2.359741884,4.167423122,1.213993995,26.98946476,8.383982136,106.5278228,42.85813331,211.5199419,45.70041028,430.2885196,87.49252573,7990.680865,0,37.96994787,3.849855175,12.644236,152.5083946,135.4038516,5919.871515,61.44922657,4.574321178,51.67498831,12830.36214,0.390475093,0.016335225,1.405339138,0.035145243,0.555960611,0.718321566,0.198173639,2.032137522,0.581234077,6.42733328,1.853001628,8.836500166,1.999856649,17.8552042,3.63530329,299.810556,0.007727066,1.878014273,0.223378393,0.820746061,6.88535242,5.546175464,4.2634396,-56.1587786,-123.6321648,-244.1463924,-2747.95067,130.8648628,0.3415758
FR3_008,FR3_008 - 022,1599,31,149993.2778,754.0274985,21.0297557,2261.012247,431400,3.085600233,1.134580931,12.41506645,1.493291788,13.05882987,16.73137546,1.029514571,73.66248098,20.41932806,227.5691634,77.26833926,341.1275673,63.76693489,556.4532186,107.0779915,8940.760718,0,112.9354746,10.90813619,25.09815003,354.4104691,411.0831624,5683.672175,70.87518306,4.305516653,92.98721923,12479.41757,0.314976028,0.082635769,0.501691986,0.095641068,0.88026029,1.135384633,0.123096072,3.450839546,1.033081459,10.65690799,3.343964815,14.70255448,2.696249393,22.63496584,4.127037037,313.5116388,0.000359088,4.993529759,0.490229954,1.355307579,15.78470653,16.93114157,5.5509949,-38.6824773,-32.7264587,707.1067882,2861.709101,2.5378024,0.0898139
